,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
1,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
2,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
3,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
4,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
5,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
6,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
7,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
8,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
9,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
10,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
11,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
12,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
13,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
14,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
15,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
16,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
17,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
18,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
19,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
20,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
21,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
22,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
23,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
24,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
25,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
26,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
27,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
28,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
29,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
30,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
31,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
32,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
33,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
34,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
